County,Vehicle_Half_Percent,Population_Half_Percent,Low_Income_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent,"Convenience stores, 2016","Fast-food restaurants, 2016",Fast Food,Soda ,"Grocery stores, 2016","Farmers' markets, 2018",Fruit ,Veggie,Obese,Food Desert Score,Food Swamp Score,Food Heaven Score
Alameda,0.9970396041505134,43.81763272949027,8.587200575260995,8.869335370936739,1.176874878746927,0.1234877713999672,21.8503831431577,85.6137739518271,57010.0,5920.0,24.6313409977414,2.2512515965677,61.03,64.17,25.96,-1.1091550286973917,-0.3316480530781382,0.2070434177030645
Alpine,2.553191489361702,100.0,35.57446808510638,100.0,35.57446808510638,2.553191489361702,0.0,0.0,54000.0,7020.0,0.0,0.0,52.28,60.04,28.71,2.5463163543919207,-1.6692809952476797,-1.0929854530163376
Amador,1.7143157176235857,86.6530151479352,21.8424299703342,67.58026830484891,16.702108109527185,1.20500905725762,31.503504764905003,55.1311333385839,54000.0,7020.0,34.1287968286471,10.5011682549683,52.28,60.04,28.71,0.8523195448833945,-0.5526168292567697,0.3867139149818295
Butte,1.791818181818182,73.60272727272728,28.130454545454548,41.06363636363636,13.905,0.7890909090909091,33.636363636363605,71.8181818181818,61370.0,7880.0,20.4545454545454,3.6363636363636,53.07,60.91,26.67,0.4869354520313091,-0.081745088959975,-0.3071725955604264
Calaveras,0.8205713282724122,87.40181666593531,27.18855588222388,71.2470928956953,22.534994953705738,0.6406599675281934,50.4629426477686,65.8212295405678,54000.0,7020.0,24.1344508315415,6.5821229540567,52.28,60.04,28.71,0.5957746214545315,-0.136489648829709,-0.1007825301595191
Colusa,1.1531817545170175,71.25916242588356,24.13277930809095,47.093701853494565,14.963350296465755,0.7470003268126431,51.3562724683692,37.3500163406321,62700.0,16900.0,46.6875204257901,9.337504085158,47.76,63.27,37.75,0.2241206063753585,0.3175109276056455,0.503322705043494
Contra Costa,0.9526941683944616,62.04351659874645,11.32260908939253,24.472248039846527,3.117752198470008,0.2740640118205,21.257834655990003,66.8239555777984,60270.0,8320.0,19.065322561425997,2.3831653201782,58.95,68.84,28.77,-0.7014841084111122,-0.3376052675835614,0.1494596338701677
Del Norte,2.499126179657462,87.90632645927997,38.469066759874174,66.25305837119888,26.955609926599088,1.3736455784690669,13.981125480601099,34.9528137015029,55680.0,16170.000000000002,20.971688220901697,3.4952813701501997,57.54,66.46,22.01,1.6662393026141933,-0.5216356909509474,0.1121171426353425
El Dorado,1.1924355731312617,87.06547073313524,17.983740017011122,66.60186238663853,12.988655568933712,0.7400943344121773,32.033933877542,60.7540125263727,57500.0,5320.0,17.673894553126598,5.523092047852001,57.89,63.44,23.31,0.3769858353368134,-0.4748314572323971,0.0737122088116703
Fresno,1.2646568864527916,59.930678703852976,26.36143801386426,23.25433929818905,9.198237412004945,0.2766403353216186,32.7798377129346,68.139072491805,71460.0,18670.0,27.6210435810629,1.6121231662098001,47.4,53.16,38.48,-0.2411265481040494,0.7137100274952954,-0.821204913943119
Glenn,1.244577199345708,75.78763957044306,32.881729606713606,44.65187397766873,17.59476566389304,0.7503022544626983,56.8949576843752,53.339022829101694,62700.0,16900.0,28.4474788421876,10.6678045658203,47.76,63.27,37.75,0.4896627420275705,0.5854798615222905,0.1582370461389888
Humboldt,1.487115871730685,65.35213150798897,25.740029564041805,37.167497381576695,14.472266997467,0.7688136499706588,28.2269745882947,72.053066712226,40950.0,8520.0,35.6551257957407,10.3994116904243,51.86,70.8,28.29,0.2373845431153629,-0.6890559273096606,0.779913699031196
Imperial,1.2072561422808947,65.72183259992666,31.855633480014667,28.87387697103044,14.271062522918958,0.4033736707004033,36.0973597359736,59.0163182984965,69220.0,13750.0,20.0540887422075,1.1459479281261,51.62,50.94,36.59,0.0711135159975619,0.3383082376305995,-0.9032069631254132
Inyo,1.2293756065998058,68.76415399547072,17.583306373341962,52.84697508896797,12.956971853769003,0.819583737733204,86.27197239296879,80.8799741184082,69220.0,13750.0,26.9599913728027,10.783996549121099,51.62,50.94,28.71,0.1348905658113741,1.3664236692815268,-0.1214268678734539
Kern,1.1069148232973771,62.85475405267314,26.092414405852093,29.489501935969493,10.011183484173406,0.4057734885920124,33.824382377496704,71.8172625832062,69220.0,13750.0,22.2716883964503,1.9055990071828999,51.62,50.94,44.08,-0.1681524288049775,0.4486668726584926,-0.8020962891923729
Kings,0.8929155063994456,69.08329084467454,22.998130499012955,41.32512321711051,10.323436744192128,0.2830398347518009,28.1078819730425,58.1767789674602,69220.0,13750.0,18.3028068661672,1.3073433475832998,51.62,50.94,46.55,-0.1893145846789965,0.2046601304099216,-0.934178029022503
Lake,1.892832289491997,79.7432923528957,33.706023351117295,57.533441583545965,23.465553235908143,1.210855949895616,47.9393798809247,51.0322430990489,69220.0,13750.0,37.1143586174901,10.8250212634346,51.62,50.94,37.19,1.116238596291682,0.4313903967532302,0.1208666189687044
Lassen,1.1720876916463678,87.6629889669007,18.59578736208626,74.6382003152314,14.136695801690788,0.5702822753976214,40.1203610832497,42.9861011606247,69220.0,13750.0,20.060180541624803,2.8657400773749,51.62,50.94,22.01,0.4059080203790639,0.2183852790162341,-0.7926477419819771
Los Angeles,0.7206115329010587,37.64555148109125,11.601159227812913,7.230731860585084,1.5971617149279351,0.0761920863503522,20.0028415441908,84.1667426278987,69220.0,13750.0,20.165797483451,1.2629085292666,51.62,50.94,29.92,-1.2277163668300373,0.3745125831696634,-0.8930612588342808
Madera,0.974381069167799,77.5905610976701,32.099559208563946,55.80949855831372,21.067842110496137,0.6270506744440394,37.1192788254399,51.7018526497199,68500.0,14680.0,25.1880820601199,5.3027541179199,56.82,58.78,69.8,0.5016374862482228,0.3006695088140587,0.0183477989272008
Marin,0.7317488679088305,50.56753126869486,6.15707046896109,16.714934887424775,2.0589598627624213,0.1505493068789147,16.6396602339853,74.87847105293389,38100.0,5290.0,27.7327670566421,5.9427357978518,72.37,76.67,12.64,-1.0964604608142807,-1.0868436684690128,1.5165524062542637
Mariposa,1.2876006794148265,94.60303545011232,32.37082899567147,88.22530272313846,30.09150183551586,0.9204975069859184,32.874910963782796,43.833214618377,54000.0,7020.0,27.395759136485598,5.4791518272971,52.58,60.04,28.71,1.269459647582371,-0.6598758580313708,-0.0799948208866533
Mendocino,1.1065447797725436,67.00515704511561,26.03567810020378,51.03767033617559,19.73793558816498,0.7934791270591182,45.5368222128618,61.4747099873635,47590.0,11150.0,52.3673455447911,9.1073644425723,58.61,70.9,26.79,0.3326670300418263,-0.2185811368553396,1.424127052604813
Merced,0.9832168980386484,64.40793923211346,29.20955616455493,32.78862204986063,14.09069051928708,0.4257348715562974,30.1024656655967,55.904579093251094,75280.0,14690.0,26.5839956527348,1.9547055627010002,56.1,51.42,38.89,-0.0333441517769788,0.4259743053635244,-0.4615625630292418
