State,County,Urban_Percentage,Total_Population,Housing_Units,Median_Family_Income,Population_Half_Percent,Low_Income_Half_Percent,Vehicle_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent,"Grocery stores, 2016","Convenience stores, 2016","Fast-food restaurants, 2016","Farmers' markets, 2018",Obese,Obese Low Income,Veggie,Veggie Low Income,Fruit ,Fruit Low Income,Fast Food,Fast Food Low Income,Soda ,Soda Low Income
CA,Alameda,98.33333333333331,1510271.0,545138.0,112924.3904494382,43.81763272949027,8.587200575260995,0.9970396041505134,8.869335370936739,1.176874878746927,0.1234877713999672,0.024631340997741464,0.02185038314315775,0.08561377395182719,0.0022512515965677684,25.96,35.65,64.17,56.45,61.03,62.0,57.01,61.35,5.92,9.83
CA,Alpine,0.0,1175.0,497.0,82813.0,100.0,35.57446808510638,2.553191489361702,100.0,35.57446808510638,2.553191489361702,0.0,0.0,0.0,0.0,28.71,34.18,60.04,52.53,52.28,55.99,54.0,54.74,7.02,16.76
CA,Amador,0.0,38091.0,14569.0,74668.22222222222,86.6530151479352,21.8424299703342,1.7143157176235857,67.58026830484891,16.702108109527185,1.20500905725762,0.03412879682864719,0.03150350476490509,0.05513113333858392,0.010501168254968366,28.71,34.18,60.04,52.53,52.28,55.99,54.0,54.74,7.02,16.76
CA,Butte,74.50980392156863,220000.0,87618.0,65078.2,73.60272727272728,28.130454545454548,1.791818181818182,41.06363636363636,13.905,0.7890909090909091,0.020454545454545454,0.03363636363636364,0.07181818181818182,0.0036363636363636364,26.67,37.5,60.91,50.94,53.07,51.65,61.37,63.28,7.88,18.46
CA,Calaveras,20.0,45578.0,18886.0,74943.44444444444,87.40181666593531,27.18855588222388,0.8205713282724122,71.2470928956953,22.534994953705738,0.6406599675281934,0.024134450831541532,0.05046294264776866,0.06582122954056782,0.006582122954056782,28.71,34.18,60.04,52.53,52.28,55.99,54.0,54.74,7.02,16.76
CA,Colusa,40.0,21419.0,7056.0,63739.4,71.25916242588356,24.13277930809095,1.1531817545170175,47.093701853494565,14.963350296465755,0.7470003268126431,0.046687520425790184,0.051356272468369206,0.03735001634063215,0.009337504085158037,37.75,68.71,63.27,60.92,47.76,43.27,62.7,63.96,16.9,19.72
CA,Contra Costa,97.58454106280192,1049025.0,375364.0,116054.28985507246,62.04351659874645,11.32260908939253,0.9526941683944616,24.472248039846527,3.117752198470008,0.2740640118205,0.019065322561426085,0.021257834655990085,0.06682395557779844,0.0023831653201782607,28.77,31.92,68.84,60.25,58.95,57.01,60.27,65.69,8.32,8.49
CA,Del Norte,57.14285714285714,28610.0,9907.0,51539.857142857145,87.90632645927997,38.469066759874174,2.499126179657462,66.25305837119888,26.955609926599088,1.3736455784690669,0.02097168822090178,0.013981125480601188,0.03495281370150297,0.003495281370150297,22.01,28.25,66.46,63.75,57.54,70.27,55.68,48.93,16.17,14.58
CA,El Dorado,47.61904761904761,181058.0,70223.0,97864.07142857143,87.06547073313524,17.983740017011122,1.1924355731312617,66.60186238663853,12.988655568933712,0.7400943344121773,0.017673894553126623,0.032033933877542005,0.06075401252637277,0.00552309204785207,23.31,20.72,63.44,47.49,57.89,49.54,57.5,62.37,5.32,15.75
CA,Fresno,85.42713567839196,930450.0,289391.0,61192.30456852792,59.930678703852976,26.36143801386426,1.2646568864527916,23.25433929818905,9.198237412004945,0.2766403353216186,0.027621043581062925,0.0327798377129346,0.06813907249180504,0.0016121231662098985,38.48,46.08,53.16,45.4,47.4,46.41,71.46,65.7,18.67,26.6
CA,Glenn,50.0,28122.0,9800.0,58636.0,75.78763957044306,32.881729606713606,1.244577199345708,44.65187397766873,17.59476566389304,0.7503022544626983,0.02844747884218761,0.05689495768437522,0.05333902282910177,0.010667804565820354,37.75,39.15,63.27,60.92,47.76,43.27,62.7,63.96,16.9,19.72
CA,Humboldt,53.333333333333336,134623.0,56031.0,60769.16666666666,65.35213150798897,25.740029564041805,1.487115871730685,37.167497381576695,14.472266997467,0.7688136499706588,0.0356551257957407,0.02822697458829472,0.072053066712226,0.01039941169042437,28.29,33.19,70.8,65.42,51.86,44.07,40.95,49.84,8.52,11.77
CA,Imperial,64.51612903225806,174528.0,49126.0,53697.93333333333,65.72183259992666,31.855633480014667,1.2072561422808947,28.87387697103044,14.271062522918958,0.4033736707004033,0.020054088742207554,0.0360973597359736,0.05901631829849652,0.0011459479281261458,36.59,38.99,50.94,42.99,51.62,50.32,69.22,61.84,13.75,15.52
CA,Inyo,33.33333333333333,18546.0,8049.0,74352.83333333333,68.76415399547072,17.583306373341962,1.2293756065998058,52.84697508896797,12.956971853769003,0.819583737733204,0.02695999137280276,0.08627197239296884,0.08087997411840828,0.010783996549121105,28.71,34.18,50.94,42.99,51.62,50.32,69.22,61.84,13.75,15.52
CA,Kern,86.75496688741721,839631.0,254610.0,59689.51369863014,62.85475405267314,26.092414405852093,1.1069148232973771,29.489501935969493,10.011183484173406,0.4057734885920124,0.022271688396450346,0.033824382377496784,0.0718172625832062,0.0019055990071829172,44.08,44.87,50.94,42.99,51.62,50.32,69.22,61.84,13.75,15.52
CA,Kings,85.18518518518519,152982.0,41233.0,58198.08,69.08329084467454,22.998130499012955,0.8929155063994456,41.32512321711051,10.323436744192128,0.2830398347518009,0.01830280686616726,0.028107881973042582,0.05817677896746022,0.0013073433475833758,46.55,46.57,50.94,42.99,51.62,50.32,69.22,61.84,13.75,15.52
CA,Lake,33.33333333333333,64665.0,26548.0,54643.53333333333,79.7432923528957,33.706023351117295,1.892832289491997,57.533441583545965,23.465553235908143,1.210855949895616,0.03711435861749014,0.04793937988092477,0.05103224309904895,0.010825021263434625,37.19,46.01,50.94,42.99,51.62,50.32,69.22,61.84,13.75,15.52
CA,Lassen,22.22222222222222,34895.0,10058.0,64826.444444444445,87.6629889669007,18.59578736208626,1.1720876916463678,74.6382003152314,14.136695801690788,0.5702822753976214,0.020060180541624874,0.04012036108324975,0.042986101160624735,0.002865740077374982,22.01,28.25,50.94,42.99,51.62,50.32,69.22,61.84,13.75,15.52
CA,Los Angeles,98.2433590402742,9818605.0,3241204.0,79980.20417936439,37.64555148109125,11.601159227812913,0.7206115329010587,7.230731860585084,1.5971617149279351,0.0761920863503522,0.02016579748345106,0.02000284154419085,0.08416674262789876,0.0012629085292666321,29.92,33.5,50.94,42.99,51.62,50.32,69.22,61.84,13.75,15.52
CA,Madera,43.47826086956522,150865.0,43317.0,58921.47826086957,77.5905610976701,32.099559208563946,0.974381069167799,55.80949855831372,21.067842110496137,0.6270506744440394,0.025188082060119975,0.037119278825439965,0.05170185264971995,0.005302754117919995,69.8,69.02,58.78,56.49,56.82,63.96,68.5,67.05,14.68,18.89
CA,Marin,87.27272727272727,252409.0,103210.0,152115.87037037036,50.56753126869486,6.15707046896109,0.7317488679088305,16.714934887424775,2.0589598627624213,0.1505493068789147,0.027732767056642196,0.016639660233985318,0.07487847105293392,0.005942735797851899,12.64,12.08,76.67,73.9,72.37,44.53,38.1,41.23,5.29,9.27
CA,Mariposa,0.0,18251.0,7693.0,67173.0,94.60303545011232,32.37082899567147,1.2876006794148265,88.22530272313846,30.09150183551586,0.9204975069859184,0.027395759136485672,0.032874910963782804,0.043833214618377074,0.005479151827297134,28.71,34.18,60.04,52.53,52.58,55.99,54.0,54.74,7.02,16.76
CA,Mendocino,40.0,87841.0,34945.0,62771.1,67.00515704511561,26.03567810020378,1.1065447797725436,51.03767033617559,19.73793558816498,0.7934791270591182,0.05236734554479116,0.04553682221286188,0.061474709987363534,0.009107364442572374,26.79,30.33,70.9,67.41,58.61,70.04,47.59,49.91,11.15,17.11
CA,Merced,73.46938775510205,255793.0,75642.0,54314.61224489796,64.40793923211346,29.20955616455493,0.9832168980386484,32.78862204986063,14.09069051928708,0.4257348715562974,0.026583995652734827,0.03010246566559679,0.05590457909325118,0.0019547055627010903,38.89,36.94,51.42,44.33,56.1,54.99,75.28,72.8,14.69,21.91
CA,Modoc,25.0,9686.0,4064.0,56221.25,84.31757175304563,36.96056163534999,0.8775552343588684,68.21185215775346,29.289696469130703,0.3613462729712988,0.041296716911005574,0.020648358455502787,0.03097253768325418,0.010324179227751393,22.01,28.25,66.46,63.75,57.54,70.27,55.68,48.93,16.17,14.58
CA,Mono,33.33333333333333,14202.0,5768.0,77544.66666666667,74.51063230530912,22.48979017039853,0.7604562737642585,58.88607238417124,17.631319532460214,0.598507252499648,0.04224757076468103,0.07745387973524856,0.1478664976763836,0.01408252358822701,28.71,34.18,60.04,52.53,52.28,55.99,54.0,54.74,7.02,16.76
CA,Monterey,82.79569892473118,415057.0,125946.0,80031.05555555556,52.26366499059165,16.331491819195918,0.539925841510925,25.51649532473853,7.118299414297313,0.1968404339644916,0.026984245537359928,0.029634483938350636,0.06360572162377698,0.002891169164717135,30.13,68.39,56.11,46.46,53.51,44.79,62.05,64.36,9.03,22.67
CA,Napa,77.5,136484.0,48876.0,102984.34210526316,60.3140294833094,13.617713431611032,0.9385715541748484,25.775182438967203,4.917792561765482,0.3267782304152867,0.029307464611236483,0.03223821107236013,0.060080302453034785,0.004396119691685472,26.36,34.53,58.28,33.63,58.49,54.68,54.85,57.29,8.93,12.17
CA,Nevada,50.0,98764.0,41527.0,84356.6,86.2328378761492,21.90778016281236,0.8596249645619861,72.80081811186263,18.05921185857195,0.5832084565226197,0.02531286703657203,0.03645052853266372,0.06581345429508728,0.00911263213316593,14.93,12.84,70.84,61.1,65.98,71.73,46.53,54.53,5.72,13.64
CA,Orange,99.48453608247422,3010232.0,992781.0,102938.4224137931,44.2898753318681,9.494052285671003,0.5530802941434414,8.838122775918933,1.1438653233372045,0.0863720802914858,0.01647713531714499,0.021825560289040844,0.10049059341605564,0.0007640607102708363,24.23,21.97,60.0,58.54,54.54,57.38,67.1,69.76,7.21,10.92
CA,Placer,82.14285714285714,348432.0,132627.0,101895.21428571428,73.54634476741516,13.953368232538915,0.9559971529595443,41.9998737199798,7.345766175322588,0.4437020709923313,0.01836800293888047,0.03788400606144097,0.09585801533728246,0.00545300087248014,28.02,37.54,64.09,44.25,59.03,62.45,64.79,72.46,3.77,7.14
CA,Plumas,0.0,20007.0,8977.0,70561.42857142857,73.3293347328435,19.21827360423852,1.3795171689908532,56.05038236617184,12.875493577247962,0.8147148498025691,0.0449842555105713,0.0799720097965712,0.0449842555105713,0.0049982506122857,22.01,28.25,66.46,63.75,57.54,70.27,55.68,48.93,16.17,14.58
CA,Riverside,89.1832229580574,2189641.0,686260.0,73354.01108647451,69.82213065977481,22.91156404177671,0.8138320391333557,31.704420953023803,9.617923668765794,0.3100051560963646,0.015938685839368187,0.020825331641122907,0.07037683346265439,0.0010047309125103157,33.22,35.39,58.73,60.23,53.8,58.81,73.56,67.36,9.44,15.23
CA,Sacramento,95.89905362776024,1418788.0,513945.0,78958.13015873016,58.16020434342551,17.662822070668767,1.0737333555118875,18.76051954203165,4.694147399047638,0.2381610219426722,0.01938274076183334,0.02706535437288728,0.0757688957053485,0.001903032729343637,29.51,31.85,60.72,56.84,51.67,51.4,62.07,65.57,9.31,14.21
CA,San Benito,72.72727272727273,55269.0,16805.0,89452.45454545454,62.096292677631226,14.36248168050806,0.3908158280410356,36.92666775226619,7.49606470173153,0.2713998805840525,0.016283992835043153,0.021711990446724203,0.05066131104235647,0.0018093325372270169,39.24,43.29,63.45,68.37,55.71,59.68,65.11,69.87,13.24,18.15
CA,San Bernardino,90.21739130434784,2035210.0,611618.0,67125.03825136612,65.51171623567102,24.133676623051183,0.8768628298799633,30.798443403874785,10.905754197355556,0.403447310105591,0.015182708418295901,0.023633924754693617,0.07497997749617975,0.001080969531399708,35.86,35.79,52.18,54.17,49.54,57.4,75.58,76.12,15.1,18.07
CA,San Diego,95.37480063795851,3095313.0,1086865.0,90170.68276972623,53.89842642731123,12.595269040643062,0.6546026201550538,19.77312149045993,4.105400649304287,0.1672528755573346,0.018705701168185575,0.02448863814418768,0.08839170707453495,0.0014861178821010993,23.03,32.83,60.94,59.26,55.51,58.25,60.52,62.73,8.9,14.15
CA,San Francisco,99.48717948717947,805235.0,345811.0,132423.1727748691,9.959080268493048,2.5478276527970096,0.5110309412780121,0.5844256645575515,0.3025203822486603,0.0491781902177625,0.04445907095444187,0.01390898309189243,0.11897148037529418,0.0034772457729731073,15.16,21.62,73.82,72.22,58.64,71.15,41.05,51.28,4.67,9.36
CA,San Joaquin,87.05035971223022,685306.0,215007.0,65661.28057553957,60.68632114704964,20.82908948703207,1.0939638643175458,24.39333669922633,7.338035855515638,0.2727248849419091,0.02334723466597403,0.022325793149337667,0.06799882096464936,0.0021888032499350657,36.26,37.9,55.56,50.69,50.8,48.38,63.18,60.0,11.12,15.79
CA,San Luis Obispo,75.47169811320755,269637.0,102016.0,87754.84615384616,72.60316647937783,18.83198522457971,1.0491883532304542,37.04647359227406,8.556689178413942,0.3849620044726799,0.02558995983488913,0.03411994644651884,0.08678334204875443,0.007788248645401039,23.23,27.55,65.36,57.5,55.58,43.12,57.99,57.53,6.49,17.15
