State,County,CHILDPOVRATE15,CONVS11,CONVS16,CONVSPTH11,CONVSPTH16,FFR11,FFR16,FFRPTH11,FFRPTH16,FMRKT13,FMRKT18,FMRKTPTH13,FMRKTPTH18,FMRKT_ANMLPROD18,FMRKT_BAKED18,FMRKT_FRVEG18,FOOD_BANKS18,FSR11,FSR16,FSRPTH11,FSRPTH16,GROC11,GROC16,GROCPTH11,GROCPTH16,LACCESS_BLACK15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_HHNV10,LACCESS_HHNV15,LACCESS_HISP15,LACCESS_LOWI10,LACCESS_LOWI15,LACCESS_MULTIR15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_NHPI15,LACCESS_POP10,LACCESS_POP15,LACCESS_SENIORS10,LACCESS_SENIORS15,LACCESS_SNAP15,LACCESS_WHITE15,MEDHHINC15,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_NHASIAN10,PCT_NHBLACK10,PCT_NHNA10,PCT_NHPI10,PCT_NHWHITE10,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,PERCHLDPOV10,PERPOV10,POVRATE15,SNAPS12,SNAPS17,SNAPSPTH12,SNAPSPTH17,SPECS11,SPECS16,SPECSPTH11,SPECSPTH16,SUPERC11,SUPERC16,SUPERCPTH11,SUPERCPTH16,WICS11,WICS16,WICSPTH11,WICSPTH16
MS,Tate,29.1,18.0,14.0,0.62619586,0.495645401,14.0,22.0,0.487041225,0.778871345,1.0,1.0,0.035273369,0.034771722,1.0,1.0,1.0,0.0,6.0,6.0,0.208731953,0.212419458,2.0,1.0,0.069577318,0.0354032,2352.019608,2520.896374,2289.088533,472.6390665,288.4925682,168.1202337,4325.88188,4388.697281,200.445462,9.405407352,20.35976184,0.132858819,9748.627209,8191.938344,1028.070093,952.2179566,476.0663371,5609.575228,43376.0,25.8221976,12.38316139,12.1,16.7,2.212144291,0.225022502,30.1980198,0.214636848,0.006923769,66.09083985,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,0.0,0.0,19.2,25.25,26.83333333,0.886275886,0.943473624,2.0,0.0,0.069577318,0.0,1.0,1.0,0.0347887,0.0354032,,,,
MS,Tippah,27.2,15.0,14.0,0.681013348,0.635064641,9.0,10.0,0.408608009,0.4536176,1.0,1.0,0.045466945,0.045464877,0.0,1.0,1.0,0.0,10.0,10.0,0.454008899,0.4536176,4.0,4.0,0.181603559,0.18144704,425.0796177,385.1510053,666.0282041,372.7264028,539.812949,294.5901636,912.1143117,1348.326177,202.8519727,5.558208964,11.35269197,0.935633777,1470.980536,2490.736226,191.3336805,353.6685431,226.2584695,1844.958096,38297.0,25.38233177,14.64105793,13.4,12.8,4.430550558,0.15293271,15.78355524,0.15293271,0.004498021,78.28355524,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,0.0,0.0,18.2,16.16666667,18.41666667,0.734014378,0.838302456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
MS,Tishomingo,24.9,10.0,11.0,0.509606075,0.565262076,8.0,12.0,0.40768486,0.616649538,1.0,2.0,0.051274162,0.10280662,0.0,0.0,1.0,0.0,18.0,17.0,0.917290934,0.873586845,8.0,8.0,0.40768486,0.411099692,0.0,0.0,0.0,196.4667325,315.8429361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37740.0,23.16133313,18.03705405,11.6,15.0,2.822436584,0.107181136,2.63359363,0.163323636,0.005103864,93.53340479,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,0.0,0.0,17.1,23.08333333,23.33333333,1.178262127,1.194009484,0.0,1.0,0.0,0.0513875,0.0,0.0,0.0,0.0,,,,
MS,Tunica,46.2,19.0,22.0,1.79584121,2.166207168,9.0,10.0,0.850661626,0.984639622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.472589792,0.689247735,3.0,3.0,0.283553875,0.295391887,1276.313309,831.1129014,512.5906176,325.2342315,197.542632,55.89112774,2112.876628,1038.121964,51.13859363,21.86033219,3.742388934,5.272670818,2985.883032,1893.426043,227.3676066,143.5960761,225.8951677,535.0987512,30970.0,29.84783819,9.454444238,14.2,16.2,2.273149007,0.556689553,73.24178883,0.129894229,0.046390796,23.0655038,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,1.0,1.0,28.9,19.0,19.83333333,1.813842482,1.97858473,0.0,1.0,0.0,0.098463962,0.0,0.0,0.0,0.0,,,,
MS,Union,25.1,19.0,22.0,0.696225724,0.776699029,16.0,17.0,0.586295346,0.600176523,3.0,1.0,0.108057484,0.034957699,1.0,1.0,1.0,0.0,11.0,16.0,0.403078051,0.564872021,3.0,4.0,0.109930377,0.141218005,657.3366698,930.9514203,894.2863055,426.0873431,370.7107633,196.7372098,1700.344106,1714.920439,162.3822407,2.535272468,7.854758479,0.319028966,3542.358189,3326.652453,493.9210418,462.9331231,193.9071251,2496.224488,42120.0,25.76103781,14.45787573,10.8,11.3,4.459349893,0.169529004,14.41365077,0.106876981,0.018427066,79.78550896,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,0.0,0.0,17.0,23.83333333,28.0,0.869385472,0.980529486,1.0,2.0,0.0366435,0.070609003,1.0,1.0,0.0366435,0.0353045,,,,
MS,Walthall,42.1,7.0,7.0,0.455314167,0.480439259,7.0,6.0,0.455314167,0.411805079,1.0,1.0,0.067290224,0.069132388,1.0,1.0,1.0,0.0,9.0,9.0,0.585403929,0.617707618,3.0,4.0,0.195134643,0.274536719,543.2854333,1100.589061,382.4380625,346.7979198,234.0698021,46.73164032,2095.317707,912.6417383,37.7269508,1.000000007,2.258951688,0.0,4311.625814,1640.958317,684.8251082,270.671458,102.99678,1056.686979,31202.0,26.38735997,15.83241598,13.8,17.0,1.541151331,0.155410218,44.27248592,0.317295862,0.019426277,52.74234281,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,1.0,1.0,27.6,16.91666667,12.41666667,1.120309051,0.8563809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
MS,Warren,32.8,36.0,36.0,0.745249037,0.765289854,36.0,36.0,0.745249037,0.765289854,1.0,1.0,0.020707792,0.021656271,1.0,1.0,1.0,0.0,28.0,36.0,0.57963814,0.765289854,4.0,5.0,0.082805449,0.106290257,6305.844423,3834.669727,3226.185672,502.3998559,667.2558104,312.8392125,5646.960025,5498.003338,235.7458371,118.4605908,27.20979317,0.047426363,14085.58146,11490.44573,1774.548889,1382.797352,489.3297011,4803.137641,40465.0,25.91187747,12.83086954,13.0,15.0,1.837081992,0.844729666,46.82098702,0.217333361,0.020503147,49.50074836,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,1.0,0.0,21.6,55.08333333,59.91666667,1.145564706,1.281146653,3.0,1.0,0.0621041,0.0212581,1.0,1.0,0.0207014,0.0212581,,,,
MS,Washington,51.4,42.0,49.0,0.832639467,1.038333581,31.0,38.0,0.614567226,0.805238287,2.0,2.0,0.04027224,0.044382308,0.0,1.0,1.0,0.0,22.0,25.0,0.436144483,0.529762031,12.0,11.0,0.237896991,0.233095294,11041.68192,2345.880375,4380.549034,479.0547608,1008.28721,158.0271652,4817.455075,9628.605745,174.7845161,113.5481964,31.88394789,0.697411899,8342.674331,15226.64699,1021.812868,1745.592094,1797.841772,3864.050986,27539.0,28.0364511,12.31006903,13.5,14.9,1.034476015,0.569059585,71.07964879,0.109509748,0.011733187,26.70082328,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,1.0,1.0,36.2,84.16666667,76.0,1.691792295,1.644274248,2.0,0.0,0.0396495,0.0,1.0,1.0,0.0198247,0.0211905,,,,
MS,Wayne,35.8,16.0,19.0,0.776284508,0.929095355,12.0,12.0,0.582213381,0.586797066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,0.727766727,0.586797066,5.0,4.0,0.242588909,0.195599022,51.73779352,237.9994394,80.09172378,217.4010492,287.2988963,1.237076771,329.5989437,147.3458275,0.0,1.615067532,0.0,0.0,1023.658931,332.9466951,165.0548414,59.66958545,30.18010236,279.5938355,35989.0,26.19173856,13.90080494,11.9,15.5,1.185713597,0.163879115,38.72849087,0.183159011,0.009639948,59.01094134,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,1.0,1.0,24.5,20.08333333,24.0,0.972040721,1.173823731,1.0,0.0,0.0485178,0.0,1.0,1.0,0.0485178,0.0488998,1.0,1.0,0.048513073,0.048897363
MS,Webster,30.2,11.0,9.0,1.080337851,0.920527769,4.0,5.0,0.392850128,0.511404316,1.0,1.0,0.100644119,0.102165915,0.0,0.0,0.0,0.0,5.0,4.0,0.49106266,0.409123453,4.0,3.0,0.392850128,0.30684259,111.9386876,301.9493359,267.4023539,178.0044241,181.3152356,10.42485796,609.7886392,532.562254,9.000000069,3.588691211,0.0,0.0,1332.491663,1179.117259,231.4185196,210.0630867,99.00588714,1054.589878,40214.0,25.15361358,15.74173413,12.7,14.7,1.014337267,0.107285672,19.85760265,0.146298644,0.0,78.09421633,34.6,37.3,588.6173312,627.3073381,371.8450513,439.7314537,1.0,0.0,20.5,11.08333333,12.41666667,1.104027626,1.271548046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
