State,Urban_Percentage,Total_Population,Median_Family_Income,Population_Half_Percent,Low_Income_Half_Percent,Vehicle_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent,"Convenience stores, 2016","Farmers' markets, 2018","Fast-food restaurants, 2016","Grocery stores, 2016",Mean_Fruit_Consump_Pct,Mean_Veggie_Consump_Pct,Mean_Obesity_Pct
AL,54.66893039049236,4779736.0,59814.49271636675,85.72538315923724,32.49748521675674,1.996219038038921,61.41724145433973,22.451742104584856,1.22450277588553,3237.0,139.0,3822.0,757.0,45.36,23.096,36.288
AK,50.29940119760479,710231.0,87459.4606060606,80.3986308679852,20.1685085556671,2.5372026847603104,53.97258075189622,13.828881026032375,1.81053769829816,173.0,38.0,421.0,215.0,43.9375,20.3875,31.20833333333333
AZ,85.0,6392017.0,69963.00597213006,71.08712320383378,24.30045164147717,1.4320675304837267,35.50824411136579,11.64377378846145,0.5885309754338888,1903.0,91.0,4585.0,786.0,38.71851851851852,22.55185185185185,31.485185185185188
AR,48.8338192419825,2915918.0,56778.25844346549,85.59969793389251,34.47243715358251,2.0552361211803625,60.853151563246975,23.464068605495765,1.2137858472014649,1512.0,109.0,2014.0,480.0,46.17692307692308,22.42,37.28846153846154
CA,91.63758723828516,37253956.0,88387.66578483245,51.021539833246166,14.777649385745772,0.8101958353094099,18.474311828789407,4.861091799217244,0.2112527324614868,8949.0,755.0,29995.0,7874.0,36.71851851851852,23.98148148148148,26.65925925925925
CO,78.66344605475041,5029196.0,86548.93577235773,72.05867498502742,18.02055437887089,1.087768303323235,34.42244048551697,7.878555538499593,0.3729423152328921,1616.0,161.0,4098.0,798.0,37.919230769230765,21.96923076923077,23.76923076923077
CT,85.26570048309179,3574097.0,100079.49756690998,73.77334750567766,14.011399242941645,1.696372538294288,41.91886789866084,5.881569526512571,0.5740191158773811,1236.0,157.0,2535.0,827.0,35.40769230769231,21.957692307692305,30.946153846153848
DE,79.43925233644859,897934.0,80919.78504672897,76.0592649348393,19.320239572173456,1.4999988863324032,45.684538061817456,11.1708655647297,0.6974900159699933,315.0,37.0,665.0,172.0,37.3,22.056,33.608000000000004
DC,100.0,601723.0,119155.76878612716,32.621322435738705,11.112422161027585,3.911932899357345,4.595137629773168,1.6055560448910875,0.4603447101074747,201.0,58.0,877.0,186.0,36.825,18.475,26.0375
FL,86.72883787661407,18801310.0,68329.02990834539,69.99659066309741,23.294387465554266,1.4622013040580684,34.954569654986805,11.011546535853087,0.5536369540207571,8618.0,259.0,12793.0,3598.0,38.14074074074074,22.5,26.47407407407407
GA,67.39908022483392,9687653.0,68388.55475578406,82.60298959923523,29.33447347876725,1.816157122886214,54.77300848822723,18.73107965365812,0.9638970347100584,6061.0,161.0,8050.0,1755.0,42.97307692307693,20.084615384615383,32.573076923076925
HI,84.11214953271028,1360301.0,93827.15210355989,63.562182193499815,13.728799728883534,0.9506719468705824,37.16581844753477,8.589054922403204,0.5070201374548721,421.0,98.0,1286.0,295.0,41.400000000000006,22.838461538461537,26.73076923076923
ID,57.04697986577181,1567582.0,64366.37919463087,77.95758052848272,26.87808357074781,0.9357086264067844,48.4812277762822,15.606711483035657,0.4437407421110985,640.0,64.0,1083.0,264.0,37.09130434782609,17.291666666666668,29.90833333333333
IL,84.23756019261637,12830632.0,81657.72107304461,62.717292491905305,16.809927991076357,1.6052054177845645,31.363248513401366,7.455112109832158,0.5397395857039622,4290.0,338.0,10145.0,2770.0,38.572,25.596,31.792
IN,69.21035169210353,6483802.0,64858.94839142091,82.30457993627813,25.74713108142414,1.831394604585396,54.79036836720184,15.356144435008964,0.9852706791478212,2639.0,195.0,4812.0,997.0,41.51923076923077,23.096153846153847,35.17037037037037
IA,55.77156743620899,3046355.0,72279.74299634591,75.30753966625689,20.57419440610172,1.4465155899427349,45.78465083681974,11.474467026987991,0.6601660016642841,1582.0,229.0,1990.0,599.0,40.972,24.608,33.444
KS,66.31853785900783,2853118.0,71610.10052910053,76.77575901171981,23.081449838387336,1.5026367644100245,43.74480831146836,12.546939874200785,0.7178111806101255,986.0,119.0,2056.0,511.0,42.38461538461539,21.634615384615383,34.95384615384615
KY,50.27027027027027,4339367.0,61575.99727272728,83.28246953991216,31.311801928714488,2.268487546685957,58.34717367763547,21.73879277784064,1.3427995373518764,2061.0,132.0,3179.0,796.0,46.336000000000006,20.42083333333333,36.348
LA,72.27635075287864,4533372.0,61057.29364368845,77.9397322787541,30.772413999998232,2.193245998784128,50.02417626437892,19.33066600314292,1.2164455067883244,2622.0,85.0,3363.0,945.0,47.22,26.448,36.288
ME,30.1994301994302,1328361.0,68744.67236467237,82.47374019562453,23.725177116762687,1.8901488375524425,65.12062609486428,18.10057657519304,1.1794233645823686,884.0,98.0,955.0,366.0,37.236,13.3375,31.848000000000003
MD,84.96402877697842,5773552.0,100138.88816267248,69.41238253331744,13.70014507533664,1.6575065055272735,35.42612935676339,5.772841398154896,0.5030352199131487,2045.0,161.0,5100.0,1213.0,37.93333333333334,23.35925925925926,32.74074074074074
MA,89.70688479890934,6547629.0,100561.49240331491,66.33262208350534,12.283392965606328,1.824187045417509,35.92530975716553,5.096333344482408,0.5595613312849582,3055.0,325.0,5124.0,1383.0,34.1,17.8,25.504
MI,72.82293178519593,9883640.0,69298.43800738007,77.13599443120145,23.62125694582158,1.982933413195948,46.40202395069023,12.724957606711698,0.8535721657203217,4184.0,341.0,6832.0,1833.0,41.21111111111112,21.05185185185185,35.69259259259259
